interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
as1border1:GigabitEthernet0/0, 17, 15, 15, 15, 15, 47, 17, 16, 17, 16, 16
as1border1:GigabitEthernet1/0, 17, 15, 15, 15, 17, 47, 17, 16, 17, 16, 16
as1border1:Loopback0, 17, 15, 15, 15, 17, 47, 17, 16, 17, 16, 16
as1border2:GigabitEthernet0/0, 17, 5, 5, 5, 9, 19, 9, 5, 9, 9, 9
as1border2:GigabitEthernet1/0, 17, 5, 5, 5, 9, 19, 9, 5, 9, 9, 9
as1border2:GigabitEthernet2/0, 17, 3, 3, 3, 7, 11, 7, 3, 6, 7, 7
as1border2:Loopback0, 17, 3, 3, 3, 9, 15, 9, 8, 9, 9, 9
as1core1:GigabitEthernet0/0, 17, 17, 17, 17, 17, 51, 17, 17, 17, 17, 17
as1core1:GigabitEthernet1/0, 17, 17, 17, 17, 17, 51, 17, 17, 17, 17, 17
as1core1:Loopback0, 17, 3, 3, 3, 9, 15, 9, 8, 9, 9, 9
as2border1:GigabitEthernet0/0, 17, 15, 15, 15, 17, 47, 17, 16, 17, 16, 16
as2border1:GigabitEthernet1/0, 17, 15, 15, 15, 17, 47, 17, 16, 17, 16, 16
as2border1:GigabitEthernet2/0, 17, 6, 6, 7, 14, 26, 14, 12, 14, 14, 14
as2border1:Loopback0, 17, 15, 15, 15, 17, 47, 17, 16, 17, 16, 16
as2border2:GigabitEthernet0/0, 17, 14, 14, 14, 16, 44, 16, 15, 15, 15, 15
as2border2:GigabitEthernet1/0, 17, 6, 6, 7, 14, 26, 14, 12, 14, 14, 14
as2border2:GigabitEthernet2/0, 17, 14, 14, 14, 16, 44, 16, 15, 15, 15, 15
as2border2:Loopback0, 17, 14, 14, 14, 16, 44, 16, 15, 15, 15, 15
as2core1:GigabitEthernet0/0, 17, 15, 15, 15, 17, 47, 17, 16, 17, 16, 16
as2core1:GigabitEthernet1/0, 17, 14, 14, 14, 16, 44, 16, 15, 15, 15, 15
as2core1:GigabitEthernet2/0, 17, 6, 6, 7, 14, 26, 14, 10, 14, 14, 14
as2core1:GigabitEthernet3/0, 17, 6, 6, 7, 14, 26, 14, 10, 14, 14, 14
as2core1:Loopback0, 17, 17, 17, 17, 17, 51, 17, 17, 17, 17, 17
as2core2:GigabitEthernet0/0, 17, 6, 6, 7, 14, 26, 14, 12, 14, 14, 14
as2core2:GigabitEthernet1/0, 17, 6, 6, 7, 14, 26, 14, 12, 14, 14, 14
as2core2:GigabitEthernet2/0, 17, 6, 6, 7, 14, 26, 14, 12, 14, 14, 14
as2core2:GigabitEthernet3/0, 17, 6, 6, 7, 14, 26, 14, 12, 14, 14, 14
as2core2:Loopback0, 17, 6, 6, 7, 14, 26, 14, 12, 14, 14, 14
as2dept1:GigabitEthernet0/0, 17, 9, 9, 10, 14, 32, 14, 9, 14, 12, 14
as2dept1:GigabitEthernet1/0, 17, 9, 9, 10, 14, 32, 14, 9, 14, 12, 14
as2dept1:GigabitEthernet2/0, 17, 17, 17, 17, 17, 47, 17, 17, 17, 17, 17
as2dept1:GigabitEthernet3/0, 17, 17, 17, 17, 17, 47, 17, 17, 17, 17, 17
as2dept1:Loopback0, 17, 6, 6, 8, 10, 22, 10, 8, 10, 10, 10
as2dist1:GigabitEthernet0/0, 17, 3, 3, 5, 12, 18, 12, 3, 11, 12, 12
as2dist1:GigabitEthernet1/0, 17, 6, 6, 7, 14, 26, 14, 6, 14, 14, 14
as2dist1:GigabitEthernet2/0, 17, 7, 7, 8, 14, 28, 14, 7, 14, 14, 14
as2dist1:Loopback0, 17, 6, 6, 7, 14, 26, 14, 10, 14, 14, 14
as2dist2:GigabitEthernet0/0, 17, 6, 6, 7, 14, 26, 14, 6, 14, 14, 14
as2dist2:GigabitEthernet1/0, 17, 3, 3, 5, 12, 18, 12, 3, 11, 12, 12
as2dist2:GigabitEthernet2/0, 17, 7, 7, 8, 14, 28, 14, 7, 14, 14, 14
as2dist2:Loopback0, 17, 6, 6, 7, 14, 26, 14, 10, 14, 14, 14
as3border1:GigabitEthernet0/0, 17, 14, 14, 14, 16, 44, 16, 15, 15, 15, 15
as3border1:GigabitEthernet1/0, 17, 14, 14, 14, 16, 44, 16, 15, 15, 15, 15
as3border1:Loopback0, 17, 2, 2, 2, 6, 10, 6, 5, 5, 6, 6
as3border2:GigabitEthernet0/0, 17, 5, 5, 5, 9, 19, 9, 5, 7, 7, 9
as3border2:GigabitEthernet1/0, 17, 5, 5, 5, 7, 17, 7, 5, 7, 7, 7
as3border2:Loopback0, 17, 2, 2, 2, 6, 10, 6, 5, 5, 6, 6
as3core1:GigabitEthernet0/0, 17, 17, 17, 17, 17, 51, 17, 17, 17, 17, 17
as3core1:GigabitEthernet1/0, 17, 17, 17, 17, 17, 51, 17, 17, 17, 17, 17
as3core1:Loopback0, 17, 2, 2, 2, 6, 10, 6, 5, 5, 6, 6
